"STT","Tên","Giá bán căn hộ","Address","Bàn giao","Loại hình","Quy mô","Số tầng","Diện tích","Tọa độ","Image","Quận"
"1","ST MORITZ QUẬN THỦ ĐỨC","55-62tr/m2","Mặt tiền Phạm Văn Đồng, Phường Hiệp Bình Chánh, Quận Thủ Đức","Năm 2021","Căn hộ - Shophouse - Nhà Phố Ở - Nhà Phố Thương Mại - Biệt Thự","Tổng diện tích: 3.326m2","Chiều cao tầng: 20 Tầng - 2 Tầng hầm","70.6-75.1-90.8-113.9-124.8-142.2m2","10.838235604309187 106.73597179486593","https://angialand.com.vn/wp-content/uploads/2019/11/mua-ban-cho-thue-can-ho-chung-cu-can-ho-st-moritz-thu-duc-duong-xa-lo-ha-noi-tphcm.jpg","Thủ Đức"
"2","KING CROWN INFINITY QUẬN THỦ ĐỨC","80-100 tr/m2","218 Võ Văn Ngân, P. Bình Thọ, Q. Thủ Đức, Tp.HCM","Năm 2022","Căn hộ - Shophouse - Officetel","Tổng diện tích: 12.652m2. Số Lượng: 2 Block, 5 hầm","Số hầm: 5, Chiều cao tầng: 30 tầng","53m2 56m2 81m2 90m2 97m2 102m2","10.850474143916655 106.76628666102769","https://angialand.com.vn/wp-content/uploads/2020/09/phoi-canh-du-an-can-ho-chung-cu-king-crown-center-thu-duc-chu-dau-tu-gia-khang-1-1-600x375.jpg","Thủ Đức"
"3","LDG RIVER QUẬN THỦ ĐỨC","tr/m2","623 Quốc Lộ 13, Phường Hiệp Bình Phước, Quận Thủ Đức, TP. HCM","Đang cập nhật","Căn hộ - Shophouse - Nhà Phố Ở - Nhà Phố Thương Mại - Biệt Thự","Tổng diện tích: 28.168 m2. Số Lượng: 1.723 căn hộ","Số hầm: 2 , Chiều cao tầng: 30 tầng","50.6m2, 54m2, 63m2, 63.7m2, 82.9m2, 83.9m2","10.854047751736475 106.72117275732847","https://angialand.com.vn/wp-content/uploads/2020/07/mua-ban-cho-thue-du-an-can-ho-chung-cu-ldg-river-duong-623-quoc-lo-13-quan-thu-duc-04-600x375.jpg","Thủ Đức"
"4","VẠN PHÚC CITY QUẬN THỦ ĐỨC","72 -168 Tr/m2","Quốc Lộ 13, Q.Thủ Đức, Tp Hồ Chí Minh","Quý III/2023","Căn hộ - Shophouse - Nhà Phố liền kề - Nhà Phố Thương Mại - Biệt Thự - Dinh Thự","Tổng diện tích: 198Ha","Đa dạng","82.5-95.7-121-153.3m2","10.840592626692283 106.71613145732843","https://angialand.com.vn/wp-content/uploads/2020/06/phoi-canh-du-an-khu-do-thi-van-phuc-city-thu-duc-2-600x375.jpg","Thủ Đức"
"5","PHÚC YÊN PROSPER PHỐ ĐÔNG","40-45 Tr/m2","Tô Ngọc Vân, Tam Bình, Thủ Đức, Tp.HCM","Năm 2021","Căn hộ - Shophouse - Nhà Phố Ở - Nhà Phố Thương Mại - Biệt Thự","Tổng diện tích: 5.951m2","Chiều cao tầng: 25 Tầng","48.2 - 53.5 - 60.2 -66m2","10.866219267608534 106.74049887452075","https://angialand.com.vn/wp-content/uploads/2019/12/phoi-canh-du-an-can-ho-phuc-yen-prosper-pho-dong-03-600x375.jpg","Thủ Đức"
"6","RIVER CITY THỦ ĐỨC","Đang cập nhật","Rạch Chiết, Mai Chí Thọ, HCM","Năm 2022","Căn hộ - Shophouse - Nhà Phố Ở - Nhà Phố Thương Mại - Biệt Thự","Tổng diện tích: 30Ha","Chiều cao tầng: Đang cập nhật","Công ty Refico ","10.81545755749274 106.75627714753443","https://angialand.com.vn/wp-content/uploads/2020/02/phoi-canh-du-an-can-ho-river-city-thu-duc-600x375.jpg","Thủ Đức"
"7","THE 9 STELLARS","2300-5000$/m2","Mặt tiền Đường Hoàng Hữu Nam, Phường Long Bình, Quận 9, Thành phố Thủ Đức, Tp.HCM","Quý I/2022","Căn hộ - Shophouse - Nhà Phố Ở - Nhà Phố Thương Mại - Biệt Thự","Tổng diện tích: 16.5 ha, Số lượng: 6.000 căn hộ","Chiều cao tầng: 20-25 tầng","50-72-100m2","10.875649793174595 106.81519465912449","https://angialand.com.vn/wp-content/uploads/2021/01/phoi-canh-du-an-can-ho-the-9-stellars-01-600x375.jpg","9"
"8","MASTERI CENTRE POINT Quận 9","55-60 tr/m2","Trung tâm khu đô thị Vinhomes Grand Park, Quận 9, Thành phố Hồ Chí Minh","Năm 2022","Căn hộ chung cư cao cấp, Shophouse, Duplex, Penthouse","70.783m2 - 10 Blocks - 5.094 căn","22 - 39 Tầng","50,7- 53,54 - 68,7 - 77- 95,96 - 100,46","10.839861246214674 106.82993772018722","https://angialand.com.vn/wp-content/uploads/2020/08/phoi-canh-du-an-can-ho-chung-cu-masterise-centre-point-duong-nguyen-xien-quan-9-1-600x375.jpg","9"
"9","VINHOMES GRAND PARK Quận 9","42-65 tr/m2","Nguyễn Xiển, Quận 9, TP HCM","Quý III/2020","Căn hộ - Shophouse - Nhà Phố Ở - Nhà Phố Thương Mại - Biệt Thự","Tổng diện tích: 271ha. Số Lượng: 44000 căn hộ","Số hầm: 2-3 , Chiều cao tầng: 25-50 tầng","29m2, 46m2, 59m2, 69m2, 81m2,","10.837926545363366 106.83116445255781","https://angialand.com.vn/wp-content/uploads/2020/09/phoi-canh-du-an-can-ho-chung-cu-vinhomes-grand-park-phu-thuan-nguyen-xien-quan-9_2-600x375.jpg","9"
"10","RICCA Quận 9","30 tr/m2","Đường D7, P. Phú Hữu, Quận 9, TP.HCM","2023","Căn hộ - Shophouse - Nhà Phố Ở - Nhà Phố Thương Mại - Biệt Thự","Tổng diện tích: 12.657,3 m2","18","Đang cập nhật","10.81681308768047 106.79392047788737","https://angialand.com.vn/wp-content/uploads/2019/11/phoi-canh-tong-quan-du-an-ricca-quan-9.jpg","9"
